x
PGD
FBXO6
C1QA
C1QC
C1QB
BTBD19
NFIA
GBP1
GBP2
GBP4
GBP5
ZNF326
PALMD
S1PR1
FCGR1A
S100A9
S100A8
RP11-29H23.8
FCGR3B
PIGC
YOD1
CD34
C1orf115
ENAH
PCNX2
LBH
NLRC4
EPAS1
DYSF
VAMP8
VAMP5
EIF5B
ZC3H6
MARCO
TNFAIP6
GCA
COBLL1
ITGA4
STAT1
IKZF2
IGFBP5
TNS1
OSBPL10
FILIP1L
CCDC191
LINC02035
DCUN1D1
OPA1
LAP3
OCIAD2
ALB
HPSE
SPARCL1
GYPA
NR3C2
ZNF366
LMNB1
IRF1
PURA
DPYSL3
ZNF451
RRAGD
SERINC1
EPB41L2
MYB
UTRN
ARL4A
CREB5
ARPC1B
BPGM
CLEC5A
AC093673.5
EPHA1
SMARCD3
DEFA4
BNIP3L
CEBPD
HEMGN
RNF208
NET1
PFKFB3
JCAD
ZEB1
CDHR1
CCSER2
ANKRD22
SORBS1
PLEKHA1
IFITM3
H19
IGF2
SAA1
SERPING1
AHNAK
BATF2
CCND1
DDIAS
SESN3
MMP8
CASP4
CARD17
ATM
TBCEL
KLRB1
CLEC2D
RNU4-2
KLF12
DOCK9
PSME2
CTSG
RNU1-28P
PNN
PYGL
RTN1
WARS1
TJP1
CGNL1
RORA
UACA
MSRB1
SLC9A3R2
ARL6IP1
DYNC1LI2
PITPNM3
BCL6B
STARD3
CAVIN1
NFE2L1
TOB1
MPO
CEP112
SOCS3
SECTM1
PTPRM
FECH
MALT1
BSG-AS1
PALM
AZU1
PRTN3
ELANE
GNA15
PLIN3
KANK2
GPI
ERG
LIMK2
FBXO7
APOL6
NCF4
